event_id,rfq_id,instrument,side,requested_qty,counterparty,timestamp,status,quoted_price
EVT_0001,RFQ_001,BTCUSDT,buy,0.5000,citadel,2026-01-15 09:00:00.000,requested,
EVT_0002,RFQ_001,BTCUSDT,buy,0.5000,citadel,2026-01-15 09:00:15.000,quoted,42171.07
EVT_0003,RFQ_001,BTCUSDT,buy,0.5000,citadel,2026-01-15 09:00:20.000,accepted,42171.07
EVT_0004,RFQ_002,BTCUSDT,sell,1.0000,jump,2026-01-15 09:06:13.137,requested,
EVT_0005,RFQ_002,BTCUSDT,sell,1.0000,jump,2026-01-15 09:06:30.251,quoted,42188.72
EVT_0006,RFQ_002,BTCUSDT,sell,1.0000,jump,2026-01-15 09:06:38.389,accepted,42188.72
EVT_0007,RFQ_003,ETHUSDT,buy,5.0000,wintermute,2026-01-15 09:12:26.274,requested,
EVT_0008,RFQ_003,ETHUSDT,buy,5.0000,wintermute,2026-01-15 09:12:45.502,quoted,3257.58
EVT_0009,RFQ_003,ETHUSDT,buy,5.0000,wintermute,2026-01-15 09:12:56.778,accepted,3257.58
EVT_0010,RFQ_004,BTCUSDT,buy,0.2500,flow_traders,2026-01-15 09:18:09.411,requested,
EVT_0011,RFQ_004,BTCUSDT,buy,0.2500,flow_traders,2026-01-15 09:18:30.753,quoted,42224.03
EVT_0012,RFQ_004,BTCUSDT,buy,0.2500,flow_traders,2026-01-15 09:18:44.167,rejected,42224.03
EVT_0013,RFQ_005,ETHUSDT,sell,10.0000,citadel,2026-01-15 09:24:22.548,requested,
EVT_0014,RFQ_005,ETHUSDT,sell,10.0000,citadel,2026-01-15 09:24:45.004,quoted,3260.28
EVT_0015,RFQ_005,ETHUSDT,sell,10.0000,citadel,2026-01-15 09:25:02.556,accepted,3260.28
EVT_0016,RFQ_006,BTCUSDT,sell,2.0000,jump,2026-01-15 09:30:05.685,requested,
EVT_0017,RFQ_006,BTCUSDT,sell,2.0000,jump,2026-01-15 09:30:30.255,quoted,42217.17
EVT_0018,RFQ_006,BTCUSDT,sell,2.0000,jump,2026-01-15 09:30:35.945,accepted,42217.17
EVT_0019,RFQ_007,BTCUSDT,buy,0.7500,wintermute,2026-01-15 09:36:18.822,requested,
EVT_0020,RFQ_007,BTCUSDT,buy,0.7500,wintermute,2026-01-15 09:36:45.506,quoted,42234.83
EVT_0021,RFQ_007,BTCUSDT,buy,0.7500,wintermute,2026-01-15 09:36:53.334,accepted,42234.83
EVT_0022,RFQ_008,ETHUSDT,buy,8.0000,flow_traders,2026-01-15 09:42:01.959,requested,
EVT_0023,RFQ_008,ETHUSDT,buy,8.0000,flow_traders,2026-01-15 09:42:30.757,quoted,3265.96
EVT_0024,RFQ_008,ETHUSDT,buy,8.0000,flow_traders,2026-01-15 09:42:41.723,rejected,3265.96
EVT_0025,RFQ_009,BTCUSDT,sell,1.5000,citadel,2026-01-15 09:48:14.096,requested,
EVT_0026,RFQ_009,BTCUSDT,sell,1.5000,citadel,2026-01-15 09:48:45.008,quoted,42227.97
EVT_0027,RFQ_009,BTCUSDT,sell,1.5000,citadel,2026-01-15 09:48:59.112,accepted,42227.97
EVT_0028,RFQ_010,ETHUSDT,buy,3.0000,jump,2026-01-15 09:54:27.233,requested,
EVT_0029,RFQ_010,ETHUSDT,buy,3.0000,jump,2026-01-15 09:55:00.259,quoted,3271.92
EVT_0030,RFQ_010,ETHUSDT,buy,3.0000,jump,2026-01-15 09:55:17.501,accepted,3271.92
EVT_0031,RFQ_011,BTCUSDT,buy,0.1000,wintermute,2026-01-15 10:00:10.370,requested,
EVT_0032,RFQ_011,BTCUSDT,buy,0.1000,wintermute,2026-01-15 10:00:45.510,quoted,42221.10
EVT_0033,RFQ_011,BTCUSDT,buy,0.1000,wintermute,2026-01-15 10:00:50.890,accepted,42221.10
EVT_0034,RFQ_012,BTCUSDT,sell,4.0000,flow_traders,2026-01-15 10:06:23.507,requested,
EVT_0035,RFQ_012,BTCUSDT,sell,4.0000,flow_traders,2026-01-15 10:07:00.761,quoted,42238.76
EVT_0036,RFQ_012,BTCUSDT,sell,4.0000,flow_traders,2026-01-15 10:07:08.279,rejected,42238.76
EVT_0037,RFQ_013,ETHUSDT,buy,0.5000,citadel,2026-01-15 10:12:06.644,requested,
EVT_0038,RFQ_013,ETHUSDT,buy,0.5000,citadel,2026-01-15 10:12:45.012,quoted,3277.60
EVT_0039,RFQ_013,ETHUSDT,buy,0.5000,citadel,2026-01-15 10:12:56.668,accepted,3277.60
EVT_0040,RFQ_014,BTCUSDT,sell,2.5000,jump,2026-01-15 10:18:19.781,requested,
EVT_0041,RFQ_014,BTCUSDT,sell,2.5000,jump,2026-01-15 10:19:00.263,quoted,42274.10
EVT_0042,RFQ_014,BTCUSDT,sell,2.5000,jump,2026-01-15 10:19:14.057,accepted,42274.10
EVT_0043,RFQ_015,BTCUSDT,buy,1.0000,wintermute,2026-01-15 10:24:02.918,requested,
EVT_0044,RFQ_015,BTCUSDT,buy,1.0000,wintermute,2026-01-15 10:24:45.514,quoted,42249.55
EVT_0045,RFQ_015,BTCUSDT,buy,1.0000,wintermute,2026-01-15 10:25:02.446,rejected,42249.55
EVT_0046,RFQ_016,ETHUSDT,sell,6.0000,flow_traders,2026-01-15 10:30:15.055,requested,
EVT_0047,RFQ_016,ETHUSDT,sell,6.0000,flow_traders,2026-01-15 10:31:00.765,quoted,3283.28
EVT_0048,RFQ_016,ETHUSDT,sell,6.0000,flow_traders,2026-01-15 10:31:05.835,accepted,3283.28
EVT_0049,RFQ_017,BTCUSDT,buy,0.3000,citadel,2026-01-15 10:36:28.192,requested,
EVT_0050,RFQ_017,BTCUSDT,buy,0.3000,citadel,2026-01-15 10:37:15.016,quoted,42284.90
EVT_0051,RFQ_017,BTCUSDT,buy,0.3000,citadel,2026-01-15 10:37:23.224,accepted,42284.90
EVT_0052,RFQ_018,ETHUSDT,buy,7.0000,jump,2026-01-15 10:42:11.329,requested,
EVT_0053,RFQ_018,ETHUSDT,buy,7.0000,jump,2026-01-15 10:43:00.267,quoted,3285.97
EVT_0054,RFQ_018,ETHUSDT,buy,7.0000,jump,2026-01-15 10:43:11.613,rejected,3285.97
EVT_0055,RFQ_019,BTCUSDT,sell,1.0000,wintermute,2026-01-15 10:48:24.466,requested,
EVT_0056,RFQ_019,BTCUSDT,sell,1.0000,wintermute,2026-01-15 10:49:15.518,quoted,42278.02
EVT_0057,RFQ_019,BTCUSDT,sell,1.0000,wintermute,2026-01-15 10:49:29.002,accepted,42278.02
EVT_0058,RFQ_020,BTCUSDT,buy,0.8000,flow_traders,2026-01-15 10:54:07.603,requested,
EVT_0059,RFQ_020,BTCUSDT,buy,0.8000,flow_traders,2026-01-15 10:55:00.769,quoted,42295.69
EVT_0060,RFQ_020,BTCUSDT,buy,0.8000,flow_traders,2026-01-15 10:55:17.391,rejected,42295.69
