trade_id,rfq_id,instrument,side,price,quantity,counterparty,execution_timestamp,settlement_date
TRD_001,RFQ_001,BTCUSDT,buy,42171.07,0.5000,citadel,2026-01-15 09:00:21.000,2026-01-19
TRD_002,RFQ_002,BTCUSDT,sell,42186.61,1.0000,jump,2026-01-15 09:06:42.173,2026-01-19
TRD_003,RFQ_003,ETHUSDT,buy,3257.91,5.0000,wintermute,2026-01-15 09:12:58.346,2026-01-19
TRD_004,RFQ_005,ETHUSDT,sell,3260.28,10.0000,citadel,2026-01-15 09:25:07.519,2026-01-19
TRD_005,RFQ_006,BTCUSDT,sell,42215.06,2.0000,jump,2026-01-15 09:30:38.692,2026-01-19
TRD_006,RFQ_007,BTCUSDT,buy,42239.05,0.7500,wintermute,2026-01-15 09:36:54.865,2026-01-19
TRD_007,RFQ_009,BTCUSDT,sell,42227.97,1.5000,citadel,2026-01-15 09:49:03.038,2026-01-19
TRD_008,RFQ_010,ETHUSDT,buy,3272.08,3.0000,jump,2026-01-15 09:55:19.211,2026-01-19
TRD_009,RFQ_011,BTCUSDT,buy,42225.32,0.1000,wintermute,2026-01-15 10:00:55.384,2026-01-19
TRD_010,RFQ_013,ETHUSDT,buy,3277.60,0.5000,citadel,2026-01-15 10:12:59.557,2026-01-19
TRD_011,RFQ_014,BTCUSDT,sell,42271.99,2.5000,jump,2026-01-15 10:19:15.730,2026-01-19
TRD_012,RFQ_016,ETHUSDT,sell,3282.95,6.0000,flow_traders,2026-01-15 10:31:09.903,2026-01-19
TRD_013,RFQ_017,BTCUSDT,buy,42284.90,0.3000,citadel,2026-01-15 10:37:25.076,2026-01-19
TRD_014,RFQ_019,BTCUSDT,sell,42275.91,1.0000,wintermute,2026-01-15 10:49:34.249,2026-01-19
